191;Antioquia;Zungo Embarcadero (28 De Octubre)
192;Antioquia;El Carmen De Viboral
193;Antioquia;Santa Inés
194;Antioquia;Santa Rita
195;Antioquia;Aguas Claras
196;Antioquia;La Chapa
197;Antioquia;La Esperanza
198;Antioquia;La Aurora (Las Brisas)
199;Antioquia;La Madera
200;Antioquia;Carolina
201;Antioquia;Caucasia
202;Antioquia;Cuturú
203;Antioquia;Margento
204;Antioquia;Puerto Colombia
205;Antioquia;Palanca
206;Antioquia;Palomar
207;Antioquia;Santa Rosita
208;Antioquia;Caracolí
209;Antioquia;Puerto Triana
210;Antioquia;La Ilusión
211;Antioquia;Cacerí
212;Antioquia;El Pando
213;Antioquia;Campo Alegre
214;Antioquia;El Chino
215;Antioquia;La Esmeralda
216;Antioquia;La Union
217;Antioquia;Las Malvinas
218;Antioquia;Puerto España
219;Antioquia;Villa Del Socorro
220;Antioquia;Chigorodó
221;Antioquia;Barranquillita
222;Antioquia;Cisneros
223;Antioquia;Fátima
224;Antioquia;El Limón
225;Antioquia;Cocorná
226;Antioquia;Agua Linda
227;Antioquia;La Piñuela
228;Antioquia;Las Cruces
229;Antioquia;La Primavera
230;Antioquia;La Florida
231;Antioquia;La Granja
232;Antioquia;Pailania
233;Antioquia;Concepción
234;Antioquia;Concordia
235;Antioquia;El Socorro
236;Antioquia;El Golpe
237;Antioquia;Salazar
238;Antioquia;Copacabana
239;Antioquia;Salado
240;Antioquia;Cabuyal
241;Antioquia;Zarzal (La Luz)
242;Antioquia;Alvarado
243;Antioquia;El Convento
244;Antioquia;El Noral
245;Antioquia;Dabeiba
246;Antioquia;Galilea
247;Antioquia;San José De Urama (Uramagrande)
248;Antioquia;Carra
249;Antioquia;Armenia (Camparrusia)
250;Antioquia;Llano Grande
251;Antioquia;Las Cruces De Urama
252;Antioquia;Arenera
253;Antioquia;Chimiandó
254;Antioquia;El Botón
255;Antioquia;Camparrusia
256;Antioquia;El Encierro
257;Antioquia;Don Matías
258;Antioquia;Bellavista
259;Antioquia;Riogrande
260;Antioquia;Ebéjico
261;Antioquia;Brasil
262;Antioquia;Sevilla
263;Antioquia;El Bagre
264;Antioquia;Puerto Claver
265;Antioquia;Puerto López
266;Antioquia;El Real
267;Antioquia;La Corona
268;Antioquia;Las Negritas
269;Antioquia;Santa Bárbara
270;Antioquia;Muqui
271;Antioquia;Entrerrios
272;Antioquia;Calle 10
273;Antioquia;Calle La Paz
274;Antioquia;El Altico
275;Antioquia;Guanteros
276;Antioquia;La Bomba
277;Antioquia;Minuto De Dios
278;Antioquia;Mirador
279;Antioquia;Obrero
280;Antioquia;San Isidro
281;Antioquia;San Vicente
282;Antioquia;Toñito Ruíz
283;Antioquia;Envigado
284;Antioquia;Las Palmas
285;Antioquia;Fredonia
286;Antioquia;Los Palomos
287;Antioquia;Minas
288;Antioquia;Puente Iglesias
289;Antioquia;Marsella
290;Antioquia;Combia Grande
291;Antioquia;Zabaletas
292;Antioquia;El Zancudo
293;Antioquia;La Loma Del Plan
294;Antioquia;El Plan
295;Antioquia;Uvital
296;Antioquia;Piedra Verde
297;Antioquia;Frontino
298;Antioquia;Carauta
299;Antioquia;El Cerro
300;Antioquia;Chontaduro
301;Antioquia;Murrí
302;Antioquia;Musinga
303;Antioquia;Nutibara
304;Antioquia;Pontón
305;Antioquia;Fuemía
306;Antioquia;San Lazaro
307;Antioquia;Noboga
308;Antioquia;Jengamecoda
309;Antioquia;El Madero
310;Antioquia;Pantanos
311;Antioquia;La Clarita (Las Minas)
312;Antioquia;Giraldo
313;Antioquia;Manglar
314;Antioquia;Pingurto
315;Antioquia;Cuajarón
316;Antioquia;El Tambo
317;Antioquia;Sierrita
318;Antioquia;Tinajitas
319;Antioquia;Girardota
320;Antioquia;San Andrés
321;Antioquia;Juan Cojo
322;Antioquia;La Calle
323;Antioquia;San Esteban
324;Antioquia;Gómez Plata
325;Antioquia;El Salto
326;Antioquia;San Matías
327;Antioquia;La Estrella
328;Antioquia;Vega De Botero
329;Antioquia;Cañaveral
330;Antioquia;El Brasil
331;Antioquia;El Cerro
332;Antioquia;Granada
333;Antioquia;Santa Ana
334;Antioquia;Guadalupe
335;Antioquia;Barrio Nuevo
336;Antioquia;El Machete
337;Antioquia;La Bramadora
338;Antioquia;Puente Acacias
339;Antioquia;Guarne
340;Antioquia;Guatape
341;Antioquia;Heliconia
342;Antioquia;Alto Del Corral
343;Antioquia;Pueblito
344;Antioquia;Llanos De San José
345;Antioquia;La Chorrera
346;Antioquia;El Hatillo
347;Antioquia;La Pava
348;Antioquia;Hispania
349;Antioquia;Itagüí
350;Antioquia;Los Gómez
351;Antioquia;El Ajizal
352;Antioquia;La Loma De Los Zuleta
353;Antioquia;El Pedregal
354;Antioquia;El Porvenir
355;Antioquia;El Progreso
356;Antioquia;La María
357;Antioquia;Los Olivares
358;Antioquia;Ituango
359;Antioquia;Badillo
360;Antioquia;El Aro (Builópolis)
361;Antioquia;La Granja
362;Antioquia;Pascuita
363;Antioquia;Santa Ana
364;Antioquia;Santa Lucía
365;Antioquia;Santa Rita
366;Antioquia;Pío X La Fondita
367;Antioquia;Jardín
368;Antioquia;Cristianía
369;Antioquia;La Cascada
370;Antioquia;La Casiana
371;Antioquia;Jericó
372;Antioquia;La Cascada
373;Antioquia;Guacamayal
374;Antioquia;El Sacatín
375;Antioquia;La Fe
376;Antioquia;La Ceja
377;Antioquia;San José
378;Antioquia;Vueltecitas
379;Antioquia;San Judas
380;Antioquia;Santo Domingo Sabio
381;Antioquia;Toledo
382;Antioquia;La Estrella
383;Antioquia;La Tablaza
384;Antioquia;Pueblo Viejo
385;Antioquia;Calle Vieja
386;Antioquia;El Pedrero
387;Antioquia;La Tablacita
388;Antioquia;Sagrada Familia
389;Antioquia;San José (Meleguindo)
390;Antioquia;La Raya
391;Antioquia;San Isidro
392;Antioquia;Tarapacá
393;Antioquia;San Miguel
394;Antioquia;La Pintada
395;Antioquia;La Unión
396;Antioquia;Mesopotamia
397;Antioquia;Chuscalito
398;Antioquia;La Concha
399;Antioquia;María Auxiliadora
400;Antioquia;Liborina
401;Antioquia;El Carmen (La Venta)
402;Antioquia;La Honda
403;Antioquia;La Merced (Playón)
404;Antioquia;San Diego (Placita)
405;Antioquia;Curití
406;Antioquia;El Potrero
407;Antioquia;San Cristóbal
408;Antioquia;Belén
409;Antioquia;Sobresabana
410;Antioquia;El Guamal
411;Antioquia;Los Peñoles
412;Antioquia;Maceo
413;Antioquia;La Susana
414;Antioquia;La Floresta
415;Antioquia;San José Del Nus (San José De Nuestra Señora)
416;Antioquia;Marinilla
417;Antioquia;Montebello
418;Antioquia;Sabaletas
419;Antioquia;El Tablazo
420;Antioquia;Monte De Venado
421;Antioquia;El Carmelo
422;Antioquia;Murindó
423;Antioquia;Opogado
424;Antioquia;San Alejandro
425;Antioquia;Guadualito
426;Antioquia;Jedega
427;Antioquia;Tadía
428;Antioquia;Mutatá
429;Antioquia;Bejuquillo
430;Antioquia;Pavarandocito
431;Antioquia;Villa Arteaga
432;Antioquia;Pavarando Grande
433;Antioquia;Caucheras
434;Antioquia;Nariño
